"","year","race","number","income_quintile","income_share"
"1",2019,"All Races",128451000,"Lowest",3.1
"2",2019,"All Races",128451000,"Second",8.3
"3",2019,"All Races",128451000,"Third",14.1
"4",2019,"All Races",128451000,"Fourth",22.7
"5",2019,"All Races",128451000,"Highest",51.9
"6",2019,"All Races",128451000,"Top 5%",23
"7",2018,"All Races",128579000,"Lowest",3.1
"8",2018,"All Races",128579000,"Second",8.3
"9",2018,"All Races",128579000,"Third",14.1
"10",2018,"All Races",128579000,"Fourth",22.6
"11",2018,"All Races",128579000,"Highest",52
"12",2018,"All Races",128579000,"Top 5%",23.1
"13",2017,"All Races",127586000,"Lowest",3.1
"14",2017,"All Races",127586000,"Second",8.2
"15",2017,"All Races",127586000,"Third",14.3
"16",2017,"All Races",127586000,"Fourth",23
"17",2017,"All Races",127586000,"Highest",51.5
"18",2017,"All Races",127586000,"Top 5%",22.3
"19",2016,"All Races",126224000,"Lowest",3.1
"20",2016,"All Races",126224000,"Second",8.3
"21",2016,"All Races",126224000,"Third",14.2
"22",2016,"All Races",126224000,"Fourth",22.9
"23",2016,"All Races",126224000,"Highest",51.5
"24",2016,"All Races",126224000,"Top 5%",22.6
"25",2015,"All Races",125819000,"Lowest",3.1
"26",2015,"All Races",125819000,"Second",8.2
"27",2015,"All Races",125819000,"Third",14.3
"28",2015,"All Races",125819000,"Fourth",23.2
"29",2015,"All Races",125819000,"Highest",51.1
"30",2015,"All Races",125819000,"Top 5%",22.1
"31",2014,"All Races",124587000,"Lowest",3.1
"32",2014,"All Races",124587000,"Second",8.2
"33",2014,"All Races",124587000,"Third",14.3
"34",2014,"All Races",124587000,"Fourth",23.2
"35",2014,"All Races",124587000,"Highest",51.2
"36",2014,"All Races",124587000,"Top 5%",21.9
"37",2013,"All Races",123931000,"Lowest",3.1
"38",2013,"All Races",123931000,"Second",8.2
"39",2013,"All Races",123931000,"Third",14.3
"40",2013,"All Races",123931000,"Fourth",23
"41",2013,"All Races",123931000,"Highest",51.4
"42",2013,"All Races",123931000,"Top 5%",22.2
"43",2012,"All Races",122459000,"Lowest",3.2
"44",2012,"All Races",122459000,"Second",8.3
"45",2012,"All Races",122459000,"Third",14.4
"46",2012,"All Races",122459000,"Fourth",23
"47",2012,"All Races",122459000,"Highest",51
"48",2012,"All Races",122459000,"Top 5%",22.3
"49",2011,"All Races",121084000,"Lowest",3.2
"50",2011,"All Races",121084000,"Second",8.4
"51",2011,"All Races",121084000,"Third",14.3
"52",2011,"All Races",121084000,"Fourth",23
"53",2011,"All Races",121084000,"Highest",51.1
"54",2011,"All Races",121084000,"Top 5%",22.3
"55",2010,"All Races",119927000,"Lowest",3.3
"56",2010,"All Races",119927000,"Second",8.5
"57",2010,"All Races",119927000,"Third",14.6
"58",2010,"All Races",119927000,"Fourth",23.4
"59",2010,"All Races",119927000,"Highest",50.3
"60",2010,"All Races",119927000,"Top 5%",21.3
"61",2009,"All Races",117538000,"Lowest",3.4
"62",2009,"All Races",117538000,"Second",8.6
"63",2009,"All Races",117538000,"Third",14.6
"64",2009,"All Races",117538000,"Fourth",23.2
"65",2009,"All Races",117538000,"Highest",50.3
"66",2009,"All Races",117538000,"Top 5%",21.7
"67",2008,"All Races",117181000,"Lowest",3.4
"68",2008,"All Races",117181000,"Second",8.6
"69",2008,"All Races",117181000,"Third",14.7
"70",2008,"All Races",117181000,"Fourth",23.3
"71",2008,"All Races",117181000,"Highest",50
"72",2008,"All Races",117181000,"Top 5%",21.5
"73",2007,"All Races",116783000,"Lowest",3.4
"74",2007,"All Races",116783000,"Second",8.7
"75",2007,"All Races",116783000,"Third",14.8
"76",2007,"All Races",116783000,"Fourth",23.4
"77",2007,"All Races",116783000,"Highest",49.7
"78",2007,"All Races",116783000,"Top 5%",21.2
"79",2006,"All Races",116011000,"Lowest",3.4
"80",2006,"All Races",116011000,"Second",8.6
"81",2006,"All Races",116011000,"Third",14.5
"82",2006,"All Races",116011000,"Fourth",22.9
"83",2006,"All Races",116011000,"Highest",50.5
"84",2006,"All Races",116011000,"Top 5%",22.3
"85",2005,"All Races",114384000,"Lowest",3.4
"86",2005,"All Races",114384000,"Second",8.6
"87",2005,"All Races",114384000,"Third",14.6
"88",2005,"All Races",114384000,"Fourth",23
"89",2005,"All Races",114384000,"Highest",50.4
"90",2005,"All Races",114384000,"Top 5%",22.2
"91",2004,"All Races",113343000,"Lowest",3.4
"92",2004,"All Races",113343000,"Second",8.7
"93",2004,"All Races",113343000,"Third",14.7
"94",2004,"All Races",113343000,"Fourth",23.2
"95",2004,"All Races",113343000,"Highest",50.1
"96",2004,"All Races",113343000,"Top 5%",21.8
"97",2003,"All Races",1.12e+08,"Lowest",3.4
"98",2003,"All Races",1.12e+08,"Second",8.7
"99",2003,"All Races",1.12e+08,"Third",14.8
"100",2003,"All Races",1.12e+08,"Fourth",23.4
"101",2003,"All Races",1.12e+08,"Highest",49.8
"102",2003,"All Races",1.12e+08,"Top 5%",21.4
"103",2002,"All Races",111278000,"Lowest",3.5
"104",2002,"All Races",111278000,"Second",8.8
"105",2002,"All Races",111278000,"Third",14.8
"106",2002,"All Races",111278000,"Fourth",23.3
"107",2002,"All Races",111278000,"Highest",49.7
"108",2002,"All Races",111278000,"Top 5%",21.7
"109",2001,"All Races",109297000,"Lowest",3.5
"110",2001,"All Races",109297000,"Second",8.7
"111",2001,"All Races",109297000,"Third",14.6
"112",2001,"All Races",109297000,"Fourth",23
