"","year","race","number","income_median","income_med_moe","income_mean","income_mean_moe","income_bracket","income_distribution"
"1",2019,"All Races",128451000,68703,904,98088,1042,"Under $15,000",9.1
"2",2019,"All Races",128451000,68703,904,98088,1042,"$15,000 to $24,999",8
"3",2019,"All Races",128451000,68703,904,98088,1042,"$25,000 to $34,999",8.3
"4",2019,"All Races",128451000,68703,904,98088,1042,"$35,000 to $49,999",11.7
"5",2019,"All Races",128451000,68703,904,98088,1042,"$50,000 to $74,999",16.5
"6",2019,"All Races",128451000,68703,904,98088,1042,"$75,000 to $99,999",12.3
"7",2019,"All Races",128451000,68703,904,98088,1042,"$100,000 to $149,999",15.5
"8",2019,"All Races",128451000,68703,904,98088,1042,"$150,000 to $199,999",8.3
"9",2019,"All Races",128451000,68703,904,98088,1042,"$200,000 and over",10.3
"10",2018,"All Races",128579000,64324,704,91652,914,"Under $15,000",10.1
"11",2018,"All Races",128579000,64324,704,91652,914,"$15,000 to $24,999",8.8
"12",2018,"All Races",128579000,64324,704,91652,914,"$25,000 to $34,999",8.7
"13",2018,"All Races",128579000,64324,704,91652,914,"$35,000 to $49,999",12
"14",2018,"All Races",128579000,64324,704,91652,914,"$50,000 to $74,999",17
"15",2018,"All Races",128579000,64324,704,91652,914,"$75,000 to $99,999",12.5
"16",2018,"All Races",128579000,64324,704,91652,914,"$100,000 to $149,999",15
"17",2018,"All Races",128579000,64324,704,91652,914,"$150,000 to $199,999",7.2
"18",2018,"All Races",128579000,64324,704,91652,914,"$200,000 and over",8.8
"19",2017,"All Races",127586000,64007,575,89922,892,"Under $15,000",10.1
"20",2017,"All Races",127586000,64007,575,89922,892,"$15,000 to $24,999",9.1
"21",2017,"All Races",127586000,64007,575,89922,892,"$25,000 to $34,999",9.2
"22",2017,"All Races",127586000,64007,575,89922,892,"$35,000 to $49,999",11.9
"23",2017,"All Races",127586000,64007,575,89922,892,"$50,000 to $74,999",16.3
"24",2017,"All Races",127586000,64007,575,89922,892,"$75,000 to $99,999",12.6
"25",2017,"All Races",127586000,64007,575,89922,892,"$100,000 to $149,999",14.8
"26",2017,"All Races",127586000,64007,575,89922,892,"$150,000 to $199,999",7.5
"27",2017,"All Races",127586000,64007,575,89922,892,"$200,000 and over",8.5
"28",2016,"All Races",126224000,62898,764,88578,822,"Under $15,000",10.4
"29",2016,"All Races",126224000,62898,764,88578,822,"$15,000 to $24,999",9
"30",2016,"All Races",126224000,62898,764,88578,822,"$25,000 to $34,999",9.2
"31",2016,"All Races",126224000,62898,764,88578,822,"$35,000 to $49,999",12.3
"32",2016,"All Races",126224000,62898,764,88578,822,"$50,000 to $74,999",16.7
"33",2016,"All Races",126224000,62898,764,88578,822,"$75,000 to $99,999",12.2
"34",2016,"All Races",126224000,62898,764,88578,822,"$100,000 to $149,999",15
"35",2016,"All Races",126224000,62898,764,88578,822,"$150,000 to $199,999",7.2
"36",2016,"All Races",126224000,62898,764,88578,822,"$200,000 and over",8
"37",2015,"All Races",125819000,60987,570,85533,715,"Under $15,000",10.6
"38",2015,"All Races",125819000,60987,570,85533,715,"$15,000 to $24,999",10
"39",2015,"All Races",125819000,60987,570,85533,715,"$25,000 to $34,999",9.6
"40",2015,"All Races",125819000,60987,570,85533,715,"$35,000 to $49,999",12.1
"41",2015,"All Races",125819000,60987,570,85533,715,"$50,000 to $74,999",16.1
"42",2015,"All Races",125819000,60987,570,85533,715,"$75,000 to $99,999",12.4
"43",2015,"All Races",125819000,60987,570,85533,715,"$100,000 to $149,999",14.9
"44",2015,"All Races",125819000,60987,570,85533,715,"$150,000 to $199,999",7.1
"45",2015,"All Races",125819000,60987,570,85533,715,"$200,000 and over",7.2
"46",2014,"All Races",124587000,58001,697,81870,793,"Under $15,000",11.4
"47",2014,"All Races",124587000,58001,697,81870,793,"$15,000 to $24,999",10.5
"48",2014,"All Races",124587000,58001,697,81870,793,"$25,000 to $34,999",9.6
"49",2014,"All Races",124587000,58001,697,81870,793,"$35,000 to $49,999",12.6
"50",2014,"All Races",124587000,58001,697,81870,793,"$50,000 to $74,999",16.4
"51",2014,"All Races",124587000,58001,697,81870,793,"$75,000 to $99,999",12.1
"52",2014,"All Races",124587000,58001,697,81870,793,"$100,000 to $149,999",14
"53",2014,"All Races",124587000,58001,697,81870,793,"$150,000 to $199,999",6.6
"54",2014,"All Races",124587000,58001,697,81870,793,"$200,000 and over",6.8
"55",2013,"All Races",123931000,58904,1183,82660,1201,"Under $15,000",11.4
"56",2013,"All Races",123931000,58904,1183,82660,1201,"$15,000 to $24,999",10.3
"57",2013,"All Races",123931000,58904,1183,82660,1201,"$25,000 to $34,999",9.5
"58",2013,"All Races",123931000,58904,1183,82660,1201,"$35,000 to $49,999",12.5
"59",2013,"All Races",123931000,58904,1183,82660,1201,"$50,000 to $74,999",16.8
"60",2013,"All Races",123931000,58904,1183,82660,1201,"$75,000 to $99,999",12
"61",2013,"All Races",123931000,58904,1183,82660,1201,"$100,000 to $149,999",13.9
"62",2013,"All Races",123931000,58904,1183,82660,1201,"$150,000 to $199,999",6.7
"63",2013,"All Races",123931000,58904,1183,82660,1201,"$200,000 and over",6.9
"64",2012,"All Races",122459000,56912,384,79510,773,"Under $15,000",11.4
"65",2012,"All Races",122459000,56912,384,79510,773,"$15,000 to $24,999",10.6
"66",2012,"All Races",122459000,56912,384,79510,773,"$25,000 to $34,999",10.1
"67",2012,"All Races",122459000,56912,384,79510,773,"$35,000 to $49,999",12.5
"68",2012,"All Races",122459000,56912,384,79510,773,"$50,000 to $74,999",17.4
"69",2012,"All Races",122459000,56912,384,79510,773,"$75,000 to $99,999",12
"70",2012,"All Races",122459000,56912,384,79510,773,"$100,000 to $149,999",13.9
"71",2012,"All Races",122459000,56912,384,79510,773,"$150,000 to $199,999",6.3
"72",2012,"All Races",122459000,56912,384,79510,773,"$200,000 and over",5.9
"73",2011,"All Races",121084000,57021,470,79375,690,"Under $15,000",11.6
"74",2011,"All Races",121084000,57021,470,79375,690,"$15,000 to $24,999",10.2
"75",2011,"All Races",121084000,57021,470,79375,690,"$25,000 to $34,999",10.2
"76",2011,"All Races",121084000,57021,470,79375,690,"$35,000 to $49,999",13.1
"77",2011,"All Races",121084000,57021,470,79375,690,"$50,000 to $74,999",17.2
"78",2011,"All Races",121084000,57021,470,79375,690,"$75,000 to $99,999",11.9
"79",2011,"All Races",121084000,57021,470,79375,690,"$100,000 to $149,999",13.8
"80",2011,"All Races",121084000,57021,470,79375,690,"$150,000 to $199,999",6.2
"81",2011,"All Races",121084000,57021,470,79375,690,"$200,000 and over",5.8
"82",2010,"All Races",119927000,57904,628,79192,696,"Under $15,000",11.2
"83",2010,"All Races",119927000,57904,628,79192,696,"$15,000 to $24,999",10.7
"84",2010,"All Races",119927000,57904,628,79192,696,"$25,000 to $34,999",9.4
"85",2010,"All Races",119927000,57904,628,79192,696,"$35,000 to $49,999",13.3
"86",2010,"All Races",119927000,57904,628,79192,696,"$50,000 to $74,999",16.8
"87",2010,"All Races",119927000,57904,628,79192,696,"$75,000 to $99,999",12.4
"88",2010,"All Races",119927000,57904,628,79192,696,"$100,000 to $149,999",14.1
"89",2010,"All Races",119927000,57904,628,79192,696,"$150,000 to $199,999",6.3
"90",2010,"All Races",119927000,57904,628,79192,696,"$200,000 and over",5.9
"91",2009,"All Races",117538000,59458,419,81196,477,"Under $15,000",10.4
"92",2009,"All Races",117538000,59458,419,81196,477,"$15,000 to $24,999",10
"93",2009,"All Races",117538000,59458,419,81196,477,"$25,000 to $34,999",9.7
"94",2009,"All Races",117538000,59458,419,81196,477,"$35,000 to $49,999",13.2
"95",2009,"All Races",117538000,59458,419,81196,477,"$50,000 to $74,999",17.4
"96",2009,"All Races",117538000,59458,419,81196,477,"$75,000 to $99,999",12.4
"97",2009,"All Races",117538000,59458,419,81196,477,"$100,000 to $149,999",14.5
"98",2009,"All Races",117538000,59458,419,81196,477,"$150,000 to $199,999",6.3
"99",2009,"All Races",117538000,59458,419,81196,477,"$200,000 and over",6
"100",2008,"All Races",117181000,59877,268,81447,474,"Under $15,000",10.4
"101",2008,"All Races",117181000,59877,268,81447,474,"$15,000 to $24,999",10
"102",2008,"All Races",117181000,59877,268,81447,474,"$25,000 to $34,999",9.4
"103",2008,"All Races",117181000,59877,268,81447,474,"$35,000 to $49,999",13.4
"104",2008,"All Races",117181000,59877,268,81447,474,"$50,000 to $74,999",17
"105",2008,"All Races",117181000,59877,268,81447,474,"$75,000 to $99,999",12.5
"106",2008,"All Races",117181000,59877,268,81447,474,"$100,000 to $149,999",15
"107",2008,"All Races",117181000,59877,268,81447,474,"$150,000 to $199,999",6.3
"108",2008,"All Races",117181000,59877,268,81447,474,"$200,000 and over",6
"109",2007,"All Races",116783000,62090,285,83568,480,"Under $15,000",10
"110",2007,"All Races",116783000,62090,285,83568,480,"$15,000 to $24,999",10
"111",2007,"All Races",116783000,62090,285,83568,480,"$25,000 to $34,999",9
"112",2007,"All Races",116783000,62090,285,83568,480,"$35,000 to $49,999",12.8
"113",2007,"All Races",116783000,62090,285,83568,480,"$50,000 to $74,999",17.3
"114",2007,"All Races",116783000,62090,285,83568,480,"$75,000 to $99,999",12.6
"115",2007,"All Races",116783000,62090,285,83568,480,"$100,000 to $149,999",15.3
"116",2007,"All Races",116783000,62090,285,83568,480,"$150,000 to $199,999",6.7
"117",2007,"All Races",116783000,62090,285,83568,480,"$200,000 and over",6.4
"118",2006,"All Races",116011000,61268,433,84617,537,"Under $15,000",9.6
"119",2006,"All Races",116011000,61268,433,84617,537,"$15,000 to $24,999",9.5
"120",2006,"All Races",116011000,61268,433,84617,537,"$25,000 to $34,999",9.4
"121",2006,"All Races",116011000,61268,433,84617,537,"$35,000 to $49,999",13
"122",2006,"All Races",116011000,61268,433,84617,537,"$50,000 to $74,999",17.5
"123",2006,"All Races",116011000,61268,433,84617,537,"$75,000 to $99,999",12.7
"124",2006,"All Races",116011000,61268,433,84617,537,"$100,000 to $149,999",15
"125",2006,"All Races",116011000,61268,433,84617,537,"$150,000 to $199,999",6.7
"126",2006,"All Races",116011000,61268,433,84617,537,"$200,000 and over",6.5
"127",2005,"All Races",114384000,60794,335,83127,516,"Under $15,000",10.1
"128",2005,"All Races",114384000,60794,335,83127,516,"$15,000 to $24,999",9.8
"129",2005,"All Races",114384000,60794,335,83127,516,"$25,000 to $34,999",9.5
"130",2005,"All Races",114384000,60794,335,83127,516,"$35,000 to $49,999",12.7
"131",2005,"All Races",114384000,60794,335,83127,516,"$50,000 to $74,999",17.6
"132",2005,"All Races",114384000,60794,335,83127,516,"$75,000 to $99,999",12.9
"133",2005,"All Races",114384000,60794,335,83127,516,"$100,000 to $149,999",14.7
"134",2005,"All Races",114384000,60794,335,83127,516,"$150,000 to $199,999",6.5
"135",2005,"All Races",114384000,60794,335,83127,516,"$200,000 and over",6.2
"136",2004,"All Races",113343000,60150,437,82038,509,"Under $15,000",10.3
"137",2004,"All Races",113343000,60150,437,82038,509,"$15,000 to $24,999",9.7
"138",2004,"All Races",113343000,60150,437,82038,509,"$25,000 to $34,999",9.8
"139",2004,"All Races",113343000,60150,437,82038,509,"$35,000 to $49,999",12.8
"140",2004,"All Races",113343000,60150,437,82038,509,"$50,000 to $74,999",17.4
