"","year","race","dollar_type","number","income_quintile","income_dollars"
"1",2019,"All Races","Current Dollars",128451000,"Lowest",28084
"2",2019,"All Races","Current Dollars",128451000,"Second",53503
"3",2019,"All Races","Current Dollars",128451000,"Third",86488
"4",2019,"All Races","Current Dollars",128451000,"Fourth",142501
"5",2019,"All Races","Current Dollars",128451000,"Top 5%",270002
"6",2018,"All Races","Current Dollars",128579000,"Lowest",25600
"7",2018,"All Races","Current Dollars",128579000,"Second",50000
"8",2018,"All Races","Current Dollars",128579000,"Third",79542
"9",2018,"All Races","Current Dollars",128579000,"Fourth",130000
"10",2018,"All Races","Current Dollars",128579000,"Top 5%",248728
"11",2017,"All Races","Current Dollars",127586000,"Lowest",24638
"12",2017,"All Races","Current Dollars",127586000,"Second",47110
"13",2017,"All Races","Current Dollars",127586000,"Third",77552
"14",2017,"All Races","Current Dollars",127586000,"Fourth",126855
"15",2017,"All Races","Current Dollars",127586000,"Top 5%",237034
"16",2016,"All Races","Current Dollars",126224000,"Lowest",24002
"17",2016,"All Races","Current Dollars",126224000,"Second",45600
"18",2016,"All Races","Current Dollars",126224000,"Third",74869
"19",2016,"All Races","Current Dollars",126224000,"Fourth",121018
"20",2016,"All Races","Current Dollars",126224000,"Top 5%",225251
"21",2015,"All Races","Current Dollars",125819000,"Lowest",22800
"22",2015,"All Races","Current Dollars",125819000,"Second",43511
"23",2015,"All Races","Current Dollars",125819000,"Third",72001
"24",2015,"All Races","Current Dollars",125819000,"Fourth",117002
"25",2015,"All Races","Current Dollars",125819000,"Top 5%",214462
"26",2014,"All Races","Current Dollars",124587000,"Lowest",21432
"27",2014,"All Races","Current Dollars",124587000,"Second",41186
"28",2014,"All Races","Current Dollars",124587000,"Third",68212
"29",2014,"All Races","Current Dollars",124587000,"Fourth",112262
"30",2014,"All Races","Current Dollars",124587000,"Top 5%",206568
"31",2013,"All Races","Current Dollars",123931000,"Lowest",21000
"32",2013,"All Races","Current Dollars",123931000,"Second",41035
"33",2013,"All Races","Current Dollars",123931000,"Third",67200
"34",2013,"All Races","Current Dollars",123931000,"Fourth",110232
"35",2013,"All Races","Current Dollars",123931000,"Top 5%",205128
"36",2012,"All Races","Current Dollars",122459000,"Lowest",20599
"37",2012,"All Races","Current Dollars",122459000,"Second",39764
"38",2012,"All Races","Current Dollars",122459000,"Third",64582
"39",2012,"All Races","Current Dollars",122459000,"Fourth",104096
"40",2012,"All Races","Current Dollars",122459000,"Top 5%",191156
"41",2011,"All Races","Current Dollars",121084000,"Lowest",20262
"42",2011,"All Races","Current Dollars",121084000,"Second",38520
"43",2011,"All Races","Current Dollars",121084000,"Third",62434
"44",2011,"All Races","Current Dollars",121084000,"Fourth",101582
"45",2011,"All Races","Current Dollars",121084000,"Top 5%",186000
"46",2010,"All Races","Current Dollars",119927000,"Lowest",20000
"47",2010,"All Races","Current Dollars",119927000,"Second",38000
"48",2010,"All Races","Current Dollars",119927000,"Third",61500
"49",2010,"All Races","Current Dollars",119927000,"Fourth",100029
"50",2010,"All Races","Current Dollars",119927000,"Top 5%",180485
