"","year","race","dollar_type","income_quintile","income_dollars"
"1",2019,"All Races","Current Dollars","Lowest",15286
"2",2019,"All Races","Current Dollars","Second",40652
"3",2019,"All Races","Current Dollars","Middle",68938
"4",2019,"All Races","Current Dollars","Fourth",111112
"5",2019,"All Races","Current Dollars","Highest",254449
"6",2019,"All Races","Current Dollars","Top 5%",451122
"7",2018,"All Races","Current Dollars","Lowest",13775
"8",2018,"All Races","Current Dollars","Second",37293
"9",2018,"All Races","Current Dollars","Middle",63572
"10",2018,"All Races","Current Dollars","Fourth",101570
"11",2018,"All Races","Current Dollars","Highest",233895
"12",2018,"All Races","Current Dollars","Top 5%",416520
"13",2017,"All Races","Current Dollars","Lowest",13258
"14",2017,"All Races","Current Dollars","Second",35401
"15",2017,"All Races","Current Dollars","Middle",61564
"16",2017,"All Races","Current Dollars","Fourth",99030
"17",2017,"All Races","Current Dollars","Highest",221846
"18",2017,"All Races","Current Dollars","Top 5%",385289
"19",2016,"All Races","Current Dollars","Lowest",12943
"20",2016,"All Races","Current Dollars","Second",34504
"21",2016,"All Races","Current Dollars","Middle",59149
"22",2016,"All Races","Current Dollars","Fourth",95178
"23",2016,"All Races","Current Dollars","Highest",213941
"24",2016,"All Races","Current Dollars","Top 5%",375088
"25",2015,"All Races","Current Dollars","Lowest",12457
"26",2015,"All Races","Current Dollars","Second",32631
"27",2015,"All Races","Current Dollars","Middle",56832
"28",2015,"All Races","Current Dollars","Fourth",92031
"29",2015,"All Races","Current Dollars","Highest",202366
"30",2015,"All Races","Current Dollars","Top 5%",350870
"31",2014,"All Races","Current Dollars","Lowest",11676
"32",2014,"All Races","Current Dollars","Second",31087
"33",2014,"All Races","Current Dollars","Middle",54041
"34",2014,"All Races","Current Dollars","Fourth",87834
"35",2014,"All Races","Current Dollars","Highest",194053
"36",2014,"All Races","Current Dollars","Top 5%",332347
"37",2013,"All Races","Current Dollars","Lowest",11594
"38",2013,"All Races","Current Dollars","Second",30812
"39",2013,"All Races","Current Dollars","Middle",53741
"40",2013,"All Races","Current Dollars","Fourth",86473
"41",2013,"All Races","Current Dollars","Highest",193352
"42",2013,"All Races","Current Dollars","Top 5%",334465
"43",2012,"All Races","Current Dollars","Lowest",11490
"44",2012,"All Races","Current Dollars","Second",29696
"45",2012,"All Races","Current Dollars","Middle",51179
"46",2012,"All Races","Current Dollars","Fourth",82098
"47",2012,"All Races","Current Dollars","Highest",181905
"48",2012,"All Races","Current Dollars","Top 5%",318052
"49",2011,"All Races","Current Dollars","Lowest",11239
"50",2011,"All Races","Current Dollars","Second",29204
"51",2011,"All Races","Current Dollars","Middle",49842
"52",2011,"All Races","Current Dollars","Fourth",80080
"53",2011,"All Races","Current Dollars","Highest",178020
"54",2011,"All Races","Current Dollars","Top 5%",311444
"55",2010,"All Races","Current Dollars","Lowest",10994
"56",2010,"All Races","Current Dollars","Second",28532
"57",2010,"All Races","Current Dollars","Middle",49167
"58",2010,"All Races","Current Dollars","Fourth",78877
"59",2010,"All Races","Current Dollars","Highest",169391
"60",2010,"All Races","Current Dollars","Top 5%",287201
"61",2009,"All Races","Current Dollars","Lowest",11552
"62",2009,"All Races","Current Dollars","Second",29257
"63",2009,"All Races","Current Dollars","Middle",49534
"64",2009,"All Races","Current Dollars","Fourth",78694
"65",2009,"All Races","Current Dollars","Highest",170844
"66",2009,"All Races","Current Dollars","Top 5%",295388
"67",2008,"All Races","Current Dollars","Lowest",11656
"68",2008,"All Races","Current Dollars","Second",29517
"69",2008,"All Races","Current Dollars","Middle",50132
"70",2008,"All Races","Current Dollars","Fourth",79760
"71",2008,"All Races","Current Dollars","Highest",171057
"72",2008,"All Races","Current Dollars","Top 5%",294709
"73",2007,"All Races","Current Dollars","Lowest",11551
"74",2007,"All Races","Current Dollars","Second",29442
"75",2007,"All Races","Current Dollars","Middle",49968
"76",2007,"All Races","Current Dollars","Fourth",79111
"77",2007,"All Races","Current Dollars","Highest",167971
"78",2007,"All Races","Current Dollars","Top 5%",287191
"79",2006,"All Races","Current Dollars","Lowest",11352
"80",2006,"All Races","Current Dollars","Second",28777
"81",2006,"All Races","Current Dollars","Middle",48223
"82",2006,"All Races","Current Dollars","Fourth",76329
"83",2006,"All Races","Current Dollars","Highest",168170
"84",2006,"All Races","Current Dollars","Top 5%",297405
"85",2005,"All Races","Current Dollars","Lowest",10655
"86",2005,"All Races","Current Dollars","Second",27357
"87",2005,"All Races","Current Dollars","Middle",46301
"88",2005,"All Races","Current Dollars","Fourth",72825
"89",2005,"All Races","Current Dollars","Highest",159583
"90",2005,"All Races","Current Dollars","Top 5%",281155
"91",2004,"All Races","Current Dollars","Lowest",10244
"92",2004,"All Races","Current Dollars","Second",26212
"93",2004,"All Races","Current Dollars","Middle",44411
"94",2004,"All Races","Current Dollars","Fourth",70026
"95",2004,"All Races","Current Dollars","Highest",151438
"96",2004,"All Races","Current Dollars","Top 5%",263896
"97",2003,"All Races","Current Dollars","Lowest",9996
"98",2003,"All Races","Current Dollars","Second",25678
"99",2003,"All Races","Current Dollars","Middle",43588
"100",2003,"All Races","Current Dollars","Fourth",68994
"101",2003,"All Races","Current Dollars","Highest",147078
"102",2003,"All Races","Current Dollars","Top 5%",253239
"103",2002,"All Races","Current Dollars","Lowest",9990
"104",2002,"All Races","Current Dollars","Second",25400
"105",2002,"All Races","Current Dollars","Middle",42802
"106",2002,"All Races","Current Dollars","Fourth",67326
"107",2002,"All Races","Current Dollars","Highest",143743
"108",2002,"All Races","Current Dollars","Top 5%",251010
"109",2001,"All Races","Current Dollars","Lowest",10136
"110",2001,"All Races","Current Dollars","Second",25468
"111",2001,"All Races","Current Dollars","Middle",42629
"112",2001,"All Races","Current Dollars","Fourth",66839
"113",2001,"All Races","Current Dollars","Highest",145970
"114",2001,"All Races","Current Dollars","Top 5%",260464
"115",2000,"All Races","Current Dollars","Lowest",10157
"116",2000,"All Races","Current Dollars","Second",25361
"117",2000,"All Races","Current Dollars","Middle",42233
"118",2000,"All Races","Current Dollars","Fourth",65653
"119",2000,"All Races","Current Dollars","Highest",142269
"120",2000,"All Races","Current Dollars","Top 5%",252400
"121",1999,"All Races","Current Dollars","Lowest",9915
"122",1999,"All Races","Current Dollars","Second",24345
"123",1999,"All Races","Current Dollars","Middle",40750
"124",1999,"All Races","Current Dollars","Fourth",63423
"125",1999,"All Races","Current Dollars","Highest",135250
"126",1999,"All Races","Current Dollars","Top 5%",235077
"127",1998,"All Races","Current Dollars","Lowest",9223
"128",1998,"All Races","Current Dollars","Second",23288
"129",1998,"All Races","Current Dollars","Middle",38967
"130",1998,"All Races","Current Dollars","Fourth",60266
"131",1998,"All Races","Current Dollars","Highest",127529
"132",1998,"All Races","Current Dollars","Top 5%",222283
"133",1997,"All Races","Current Dollars","Lowest",8839
"134",1997,"All Races","Current Dollars","Second",22098
"135",1997,"All Races","Current Dollars","Middle",37177
"136",1997,"All Races","Current Dollars","Fourth",57582
"137",1997,"All Races","Current Dollars","Highest",122764
"138",1997,"All Races","Current Dollars","Top 5%",215436
"139",1996,"All Races","Current Dollars","Lowest",8595
"140",1996,"All Races","Current Dollars","Second",21097
"141",1996,"All Races","Current Dollars","Middle",35486
"142",1996,"All Races","Current Dollars","Fourth",54922
"143",1996,"All Races","Current Dollars","Highest",115514
"144",1996,"All Races","Current Dollars","Top 5%",201220
"145",1995,"All Races","Current Dollars","Lowest",8345
"146",1995,"All Races","Current Dollars","Second",20397
"147",1995,"All Races","Current Dollars","Middle",34106
"148",1995,"All Races","Current Dollars","Fourth",52429
"149",1995,"All Races","Current Dollars","Highest",109411
"150",1995,"All Races","Current Dollars","Top 5%",188828
"151",1994,"All Races","Current Dollars","Lowest",7714
"152",1994,"All Races","Current Dollars","Second",19224
"153",1994,"All Races","Current Dollars","Middle",32385
"154",1994,"All Races","Current Dollars","Fourth",50395
"155",1994,"All Races","Current Dollars","Highest",105945
"156",1994,"All Races","Current Dollars","Top 5%",183044
"157",1993,"All Races","Current Dollars","Lowest",7359
"158",1993,"All Races","Current Dollars","Second",18656
"159",1993,"All Races","Current Dollars","Middle",31272
"160",1993,"All Races","Current Dollars","Fourth",48599
"161",1993,"All Races","Current Dollars","Highest",101253
"162",1993,"All Races","Current Dollars","Top 5%",173784
"163",1992,"All Races","Current Dollars","Lowest",7256
"164",1992,"All Races","Current Dollars","Second",18181
"165",1992,"All Races","Current Dollars","Middle",30631
"166",1992,"All Races","Current Dollars","Fourth",47021
"167",1992,"All Races","Current Dollars","Highest",91110
"168",1992,"All Races","Current Dollars","Top 5%",144608
"169",1991,"All Races","Current Dollars","Lowest",7226
"170",1991,"All Races","Current Dollars","Second",18150
"171",1991,"All Races","Current Dollars","Middle",30148
"172",1991,"All Races","Current Dollars","Fourth",45957
"173",1991,"All Races","Current Dollars","Highest",88127
"174",1991,"All Races","Current Dollars","Top 5%",137530
"175",1990,"All Races","Current Dollars","Lowest",7166
"176",1990,"All Races","Current Dollars","Second",18030
"177",1990,"All Races","Current Dollars","Middle",29781
"178",1990,"All Races","Current Dollars","Fourth",44901
"179",1990,"All Races","Current Dollars","Highest",87137
"180",1990,"All Races","Current Dollars","Top 5%",138756
"181",1989,"All Races","Current Dollars","Lowest",6994
"182",1989,"All Races","Current Dollars","Second",17401
"183",1989,"All Races","Current Dollars","Middle",28925
"184",1989,"All Races","Current Dollars","Fourth",43753
"185",1989,"All Races","Current Dollars","Highest",85529
"186",1989,"All Races","Current Dollars","Top 5%",138185
"187",1988,"All Races","Current Dollars","Lowest",6465
"188",1988,"All Races","Current Dollars","Second",16317
"189",1988,"All Races","Current Dollars","Middle",27291
"190",1988,"All Races","Current Dollars","Fourth",41254
"191",1988,"All Races","Current Dollars","Highest",78759
"192",1988,"All Races","Current Dollars","Top 5%",124215
"193",1987,"All Races","Current Dollars","Lowest",6132
"194",1987,"All Races","Current Dollars","Second",15584
"195",1987,"All Races","Current Dollars","Middle",26055
"196",1987,"All Races","Current Dollars","Fourth",39383
"197",1987,"All Races","Current Dollars","Highest",74897
"198",1987,"All Races","Current Dollars","Top 5%",118000
"199",1986,"All Races","Current Dollars","Lowest",5774
"200",1986,"All Races","Current Dollars","Second",14853
"201",1986,"All Races","Current Dollars","Middle",24855
"202",1986,"All Races","Current Dollars","Fourth",37443
"203",1986,"All Races","Current Dollars","Highest",70871
"204",1986,"All Races","Current Dollars","Top 5%",111024
"205",1985,"All Races","Current Dollars","Lowest",5614
"206",1985,"All Races","Current Dollars","Second",14227
"207",1985,"All Races","Current Dollars","Middle",23615
"208",1985,"All Races","Current Dollars","Fourth",35522
"209",1985,"All Races","Current Dollars","Highest",66353
"210",1985,"All Races","Current Dollars","Top 5%",102354
"211",1984,"All Races","Current Dollars","Lowest",5436
"212",1984,"All Races","Current Dollars","Second",13540
"213",1984,"All Races","Current Dollars","Middle",22438
"214",1984,"All Races","Current Dollars","Fourth",33784
"215",1984,"All Races","Current Dollars","Highest",62121
"216",1984,"All Races","Current Dollars","Top 5%",93774
"217",1983,"All Races","Current Dollars","Lowest",5053
"218",1983,"All Races","Current Dollars","Second",12693
"219",1983,"All Races","Current Dollars","Middle",20986
"220",1983,"All Races","Current Dollars","Fourth",31492
"221",1983,"All Races","Current Dollars","Highest",57819
"222",1983,"All Races","Current Dollars","Top 5%",87359
"223",1982,"All Races","Current Dollars","Lowest",4790
"224",1982,"All Races","Current Dollars","Second",12121
"225",1982,"All Races","Current Dollars","Middle",20064
"226",1982,"All Races","Current Dollars","Fourth",29840
"227",1982,"All Races","Current Dollars","Highest",54729
"228",1982,"All Races","Current Dollars","Top 5%",82697
"229",1981,"All Races","Current Dollars","Lowest",4602
"230",1981,"All Races","Current Dollars","Second",11464
"231",1981,"All Races","Current Dollars","Middle",18991
"232",1981,"All Races","Current Dollars","Fourth",28309
"233",1981,"All Races","Current Dollars","Highest",50568
"234",1981,"All Races","Current Dollars","Top 5%",75144
"235",1980,"All Races","Current Dollars","Lowest",4310
"236",1980,"All Races","Current Dollars","Second",10727
"237",1980,"All Races","Current Dollars","Middle",17701
"238",1980,"All Races","Current Dollars","Fourth",26078
"239",1980,"All Races","Current Dollars","Highest",46497
"240",1980,"All Races","Current Dollars","Top 5%",69484
"241",1979,"All Races","Current Dollars","Lowest",4006
"242",1979,"All Races","Current Dollars","Second",9964
"243",1979,"All Races","Current Dollars","Middle",16428
"244",1979,"All Races","Current Dollars","Fourth",24108
"245",1979,"All Races","Current Dollars","Highest",43265
"246",1979,"All Races","Current Dollars","Top 5%",65984
"247",1978,"All Races","Current Dollars","Lowest",3685
"248",1978,"All Races","Current Dollars","Second",9050
"249",1978,"All Races","Current Dollars","Middle",14943
"250",1978,"All Races","Current Dollars","Fourth",21890
"251",1978,"All Races","Current Dollars","Highest",39081
"252",1978,"All Races","Current Dollars","Top 5%",59486
"253",1977,"All Races","Current Dollars","Lowest",3335
"254",1977,"All Races","Current Dollars","Second",8209
"255",1977,"All Races","Current Dollars","Middle",13579
"256",1977,"All Races","Current Dollars","Fourth",19896
"257",1977,"All Races","Current Dollars","Highest",35480
"258",1977,"All Races","Current Dollars","Top 5%",54277
"259",1976,"All Races","Current Dollars","Lowest",3152
"260",1976,"All Races","Current Dollars","Second",7717
"261",1976,"All Races","Current Dollars","Middle",12691
"262",1976,"All Races","Current Dollars","Fourth",18430
"263",1976,"All Races","Current Dollars","Highest",32619
"264",1976,"All Races","Current Dollars","Top 5%",49700
"265",1975,"All Races","Current Dollars","Lowest",2909
"266",1975,"All Races","Current Dollars","Second",7146
"267",1975,"All Races","Current Dollars","Middle",11724
"268",1975,"All Races","Current Dollars","Fourth",17036
"269",1975,"All Races","Current Dollars","Highest",30078
"270",1975,"All Races","Current Dollars","Top 5%",45644
"271",1974,"All Races","Current Dollars","Lowest",2783
"272",1974,"All Races","Current Dollars","Second",6917
"273",1974,"All Races","Current Dollars","Middle",11147
"274",1974,"All Races","Current Dollars","Fourth",16099
"275",1974,"All Races","Current Dollars","Highest",28523
"276",1974,"All Races","Current Dollars","Top 5%",43355
"277",1973,"All Races","Current Dollars","Lowest",2539
"278",1973,"All Races","Current Dollars","Second",6384
"279",1973,"All Races","Current Dollars","Middle",10471
"280",1973,"All Races","Current Dollars","Fourth",15064
"281",1973,"All Races","Current Dollars","Highest",26953
"282",1973,"All Races","Current Dollars","Top 5%",41516
"283",1972,"All Races","Current Dollars","Lowest",2283
"284",1972,"All Races","Current Dollars","Second",5897
"285",1972,"All Races","Current Dollars","Middle",9624
"286",1972,"All Races","Current Dollars","Fourth",13817
"287",1972,"All Races","Current Dollars","Highest",24805
"288",1972,"All Races","Current Dollars","Top 5%",38447
"289",1971,"All Races","Current Dollars","Lowest",2092
"290",1971,"All Races","Current Dollars","Second",5529
"291",1971,"All Races","Current Dollars","Middle",8965
"292",1971,"All Races","Current Dollars","Fourth",12745
"293",1971,"All Races","Current Dollars","Highest",22583
"294",1971,"All Races","Current Dollars","Top 5%",34638
"295",1970,"All Races","Current Dollars","Lowest",1992
"296",1970,"All Races","Current Dollars","Second",5396
"297",1970,"All Races","Current Dollars","Middle",8689
"298",1970,"All Races","Current Dollars","Fourth",12248
"299",1970,"All Races","Current Dollars","Highest",21683
"300",1970,"All Races","Current Dollars","Top 5%",33281
"301",1969,"All Races","Current Dollars","Lowest",1932
"302",1969,"All Races","Current Dollars","Second",5216
"303",1969,"All Races","Current Dollars","Middle",8335
"304",1969,"All Races","Current Dollars","Fourth",11675
"305",1969,"All Races","Current Dollars","Highest",20520
"306",1969,"All Races","Current Dollars","Top 5%",31585
"307",1968,"All Races","Current Dollars","Lowest",1806
"308",1968,"All Races","Current Dollars","Second",4842
"309",1968,"All Races","Current Dollars","Middle",7680
"310",1968,"All Races","Current Dollars","Fourth",10713
"311",1968,"All Races","Current Dollars","Highest",18616
"312",1968,"All Races","Current Dollars","Top 5%",28461
"313",1967,"All Races","Current Dollars","Lowest",1600
"314",1967,"All Races","Current Dollars","Second",4433
"315",1967,"All Races","Current Dollars","Middle",7077
"316",1967,"All Races","Current Dollars","Fourth",9902
"317",1967,"All Races","Current Dollars","Highest",17820
"318",1967,"All Races","Current Dollars","Top 5%",28110
"319",2019,"All Races","2019 Dollars","Lowest",15286
"320",2019,"All Races","2019 Dollars","Second",40652
"321",2019,"All Races","2019 Dollars","Middle",68938
"322",2019,"All Races","2019 Dollars","Fourth",111112
"323",2019,"All Races","2019 Dollars","Highest",254449
"324",2019,"All Races","2019 Dollars","Top 5%",451122
"325",2018,"All Races","2019 Dollars","Lowest",14025
"326",2018,"All Races","2019 Dollars","Second",37969
"327",2018,"All Races","2019 Dollars","Middle",64724
"328",2018,"All Races","2019 Dollars","Fourth",103410
"329",2018,"All Races","2019 Dollars","Highest",238133
"330",2018,"All Races","2019 Dollars","Top 5%",424066
"331",2017,"All Races","2019 Dollars","Lowest",13827
"332",2017,"All Races","2019 Dollars","Second",36921
